0 20 40
2 29 80
4 37 160
6 48 304
8 65 544
10 81 840
12 87 1150
14 101 248
16 116 278
18 132 216
20 152 218
22 164 196
24 174 182
26 193 274
28 189 290
30 223 292
32 221 266
34 241 240
36 279 262
38 296 298
40 311 300
42 366 256
44 382 248
46 371 192
48 376 214
50 383 230
52 426 264
54 416 318
56 411 274
58 397 408
60 355 472
62 294 496
64 266 456
66 269 380
68 270 402
70 264 398
72 265 322
74 272 454
76 262 442
78 236 454
80 229 398
82 200 420
84 165 224
86 165 198
88 181 194
90 189 244
92 210 154
94 227 176
96 280 176
98 317 170
100 345 92
102 369 158
104 390 128
106 438 138
108 450 102
110 465 32
112 503 12
114 532 12
116 526 18
118 539 6
120 529 4
122 517 0
124 508 0
126 438 0
128 437 0
130 422 0
132 431 0
134 466 0
136 487 0
138 464 0
140 436 0
142 462 0
144 475 0
146 461 0
148 408 0
150 391 0
152 353 0
154 300 0
156 302 0
158 302 0
160 325 0
162 316 0
164 286 0
166 295 0
168 271 0
170 263 0
172 282 0
174 284 0
176 288 0
178 272 0
180 240 0
182 234 0
184 247 0
186 242 0
188 269 0
190 281 0
192 273 0
194 289 0
196 297 0
198 297 0
200 337 0
